승차 시각(시),트립수,평균속도,정체비율
0,71827,13.039968320300476,12.757041224052237
1,46236,12.811308469156641,11.404533264123193
2,29790,12.819611554801016,8.96609600537093
3,19352,13.616785092266316,5.787515502273667
4,12507,16.602972732553045,3.7578955784760533
5,14966,19.20775219086866,2.465588667646666
6,32913,15.45334444393803,4.4298605414273995
7,70824,11.9231494931849,15.459448774426749
8,99752,10.099913066123294,28.80744245729409
9,117449,9.635458969596371,34.99731798482746
10,131442,9.116061383499,40.600416913924015
11,144437,8.691583403603179,45.626813074212286
12,155238,8.423092003320097,46.80232932658241
13,161876,8.460951340745954,45.941337814129334
14,178086,8.343128649753579,46.87735139202408
15,185082,8.162240852850251,48.052754995083255
16,186327,8.305978658994169,45.284365658224516
17,203561,8.3834302276617,43.798664773704196
18,207568,8.842052432138557,39.381311184768364
19,181098,9.901767343735685,31.699963555643905
20,161576,10.698775352254872,24.24122394415012
21,170116,11.079971484201398,20.847539326106894
22,150222,11.41777475600287,19.52843125507582
23,109308,12.525395370207672,16.172649760310314
